season,week,contestant,fan_mean,fan_hdi_low,fan_hdi_high
1,2,John O'Hurley,0.19531825184656726,0.0028323451880665805,0.47602229684148684
1,2,Rachel Hunter,0.1751090310547704,0.0006130534507938438,0.4483899082397194
1,2,Kelly Monaco,0.21147697852039002,0.01937436447762609,0.4823806573455827
1,2,Joey McIntyre,0.160307693233514,0.001071713085291387,0.40035366068853023
1,2,Evander Holyfield,0.21203482415818722,0.03500118853391926,0.43091527385202705
1,2,Trista Sutter,0.04575322112836235,1.2822998655119544e-05,0.13013530508825086
1,3,John O'Hurley,0.21666449901896717,0.011487390421947847,0.3979654634361972
1,3,Rachel Hunter,0.19225128689325055,0.012057108184810345,0.38633503090350513
1,3,Kelly Monaco,0.2672704627700919,0.10739207074963047,0.46749313171443085
1,3,Joey McIntyre,0.20280016095262643,0.02983126036344894,0.39176632888837926
1,3,Evander Holyfield,0.12101359032882598,0.006089243582356264,0.23084104911381734
1,4,John O'Hurley,0.2711963365212296,0.0747508069890303,0.4517100833185832
1,4,Rachel Hunter,0.11719351855940785,0.014746528287763488,0.22791354510854017
1,4,Joey McIntyre,0.32927813974397824,0.21362590265740614,0.4775340889779557
1,4,Kelly Monaco,0.28233200523410856,0.08260365257626769,0.5424951366765951
2,1,Stacy Keibler,0.08711544193416178,2.1049395419811892e-05,0.24642048574880523
2,1,Tia Carrere,0.10443137340826891,0.0014378747195033601,0.2669792105491278
2,1,George Hamilton,0.110174498838083,0.003073578632386288,0.2513714119642607
2,1,Master P,0.15672458950144755,0.01829483763984321,0.39438251568686183
2,1,Jerry Rice,0.10028412069126373,0.0004400836349329751,0.23612576059720475
2,1,Giselle Fernandez,0.11009212358041895,0.00017901147443934043,0.2627695446365264
2,1,Drew Lachey,0.10762681082737471,0.0002986461699853102,0.2944192938137564
2,1,Tatum O'Neal,0.09164154941851892,0.0003702658686501434,0.28900772603771174
2,1,Lisa Rinna,0.10557833879390485,0.0006096630048734538,0.2805217900132294
2,1,Kenny Mayne,0.026331153064765047,0.00030342458857529446,0.07348629959542247
2,2,Stacy Keibler,0.10118007313850857,0.0013816852006385697,0.2632566913578356
2,2,Tia Carrere,0.11137730533001197,0.0004819808255569452,0.2469577849397263
2,2,George Hamilton,0.11494739323811809,0.00365006265284472,0.2423033480554805
2,2,Master P,0.14339411948392433,0.018329467331413937,0.2654582242141741
2,2,Jerry Rice,0.1091016374909243,1.0458177699283755e-05,0.23072242628640918
2,2,Giselle Fernandez,0.11957616318637902,8.885739665053655e-05,0.30446771457221233
2,2,Drew Lachey,0.12820574589512448,0.00523083491030352,0.22664439400303815
2,2,Tatum O'Neal,0.04162525734213108,6.576416687963799e-05,0.09965039516479117
2,2,Lisa Rinna,0.13059230491811125,0.016052010581794632,0.3124201683756133
2,3,Stacy Keibler,0.14686599041605886,0.006560254851179299,0.3154460292457666
2,3,Tia Carrere,0.1134037472376462,0.0004116044131108838,0.2745250625892565
2,3,George Hamilton,0.15018676688532764,0.003828362286258942,0.3201223153781866
2,3,Master P,0.19268149932425518,0.05887917407812883,0.32923755626380813
2,3,Jerry Rice,0.17394703641333617,0.034556455522439834,0.35969708736114964
2,3,Giselle Fernandez,0.03676619732834717,0.0011684919863871046,0.08444318809935333
2,3,Drew Lachey,0.08132486840080172,0.0010947579186916592,0.21211061674993698
2,3,Lisa Rinna,0.10482389396395018,0.0009872302595699614,0.24837850311236165
2,4,Stacy Keibler,0.1562486947265736,0.0011231776807649613,0.3152143611683493
2,4,Tia Carrere,0.13886264751648536,0.0013074247892840805,0.3032711353613917
2,4,George Hamilton,0.18901399667946903,0.021567082236857778,0.38981330835357497
2,4,Master P,0.08042820497572774,0.002859823999463995,0.17401231534622122
2,4,Jerry Rice,0.18636006477784928,0.010440176898202418,0.3724678891773158
2,4,Drew Lachey,0.12333187245237012,0.001478711595759717,0.2609349492384333
2,4,Lisa Rinna,0.12575451884718955,0.003792888261317316,0.30744806023355886
