season,top3_coverage,brier
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.008303164558680062
7,1.0,0.011278715500082637
8,1.0,0.007021186335711455
9,1.0,0.01694795858222176
10,1.0,0.0
11,1.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.007480827994295029
15,1.0,0.023969537192041757
16,1.0,0.0
17,1.0,0.0
18,1.0,0.017729311129248047
19,1.0,0.0
20,1.0,0.0074659106369066195
21,1.0,0.009819013090519597
22,1.0,0.016472048058604357
23,1.0,0.008292766902679442
24,1.0,0.007738720538720536
25,1.0,0.01642501196825857
26,1.0,0.10138785634265424
27,1.0,0.015332730014204958
28,0.8421052631578947,0.05312795875301779
29,1.0,0.027835201850721747
30,0.7093023255813954,0.060659419980060074
31,1.0,0.02615067153010782
32,0.6444444444444445,0.06307880260951108
33,0.8703703703703703,0.07729856564517078
34,0.7792207792207793,0.05193057730583595
