season,contestant,week,judge1,judge2,judge3,judge4,total_score,num_judges,all_na,has_score
1,John O'Hurley,1,7.0,7.0,6.0,,20.0,3,False,True
1,John O'Hurley,2,8.0,9.0,9.0,,26.0,3,False,True
1,John O'Hurley,3,9.0,8.0,7.0,,24.0,3,False,True
1,John O'Hurley,4,7.0,8.0,6.0,,21.0,3,False,True
1,John O'Hurley,5,9.0,9.0,9.0,,27.0,3,False,True
1,John O'Hurley,6,9.0,9.0,9.0,,27.0,3,False,True
1,John O'Hurley,7,,,,,,0,True,False
1,John O'Hurley,8,,,,,,0,True,False
1,John O'Hurley,9,,,,,,0,True,False
1,John O'Hurley,10,,,,,,0,True,False
1,John O'Hurley,11,,,,,,0,True,False
1,Kelly Monaco,1,5.0,4.0,4.0,,13.0,3,False,True
1,Kelly Monaco,2,5.0,6.0,6.0,,17.0,3,False,True
1,Kelly Monaco,3,6.0,7.0,8.0,,21.0,3,False,True
1,Kelly Monaco,4,9.0,9.0,8.0,,26.0,3,False,True
1,Kelly Monaco,5,8.5,7.5,7.5,,23.5,3,False,True
1,Kelly Monaco,6,8.5,9.5,9.5,,27.5,3,False,True
1,Kelly Monaco,7,,,,,,0,True,False
1,Kelly Monaco,8,,,,,,0,True,False
1,Kelly Monaco,9,,,,,,0,True,False
1,Kelly Monaco,10,,,,,,0,True,False
1,Kelly Monaco,11,,,,,,0,True,False
1,Evander Holyfield,1,5.0,7.0,6.0,,18.0,3,False,True
1,Evander Holyfield,2,5.0,4.0,5.0,,14.0,3,False,True
1,Evander Holyfield,3,5.0,4.0,4.0,,13.0,3,False,True
1,Evander Holyfield,4,0.0,0.0,0.0,,0.0,3,False,False
1,Evander Holyfield,5,0.0,0.0,0.0,,0.0,3,False,False
1,Evander Holyfield,6,0.0,0.0,0.0,,0.0,3,False,False
1,Evander Holyfield,7,,,,,,0,True,False
1,Evander Holyfield,8,,,,,,0,True,False
1,Evander Holyfield,9,,,,,,0,True,False
1,Evander Holyfield,10,,,,,,0,True,False
1,Evander Holyfield,11,,,,,,0,True,False
1,Rachel Hunter,1,7.0,6.0,7.0,,20.0,3,False,True
1,Rachel Hunter,2,8.0,8.0,8.0,,24.0,3,False,True
1,Rachel Hunter,3,8.0,9.0,9.0,,26.0,3,False,True
1,Rachel Hunter,4,7.0,9.0,9.0,,25.0,3,False,True
1,Rachel Hunter,5,0.0,0.0,0.0,,0.0,3,False,False
1,Rachel Hunter,6,0.0,0.0,0.0,,0.0,3,False,False
1,Rachel Hunter,7,,,,,,0,True,False
1,Rachel Hunter,8,,,,,,0,True,False
1,Rachel Hunter,9,,,,,,0,True,False
1,Rachel Hunter,10,,,,,,0,True,False
1,Rachel Hunter,11,,,,,,0,True,False
1,Joey McIntyre,1,7.0,7.0,6.0,,20.0,3,False,True
1,Joey McIntyre,2,8.0,7.0,6.0,,21.0,3,False,True
1,Joey McIntyre,3,7.0,7.0,8.0,,22.0,3,False,True
1,Joey McIntyre,4,7.0,6.0,7.0,,20.0,3,False,True
1,Joey McIntyre,5,8.5,7.0,7.0,,22.5,3,False,True
1,Joey McIntyre,6,0.0,0.0,0.0,,0.0,3,False,False
1,Joey McIntyre,7,,,,,,0,True,False
1,Joey McIntyre,8,,,,,,0,True,False
1,Joey McIntyre,9,,,,,,0,True,False
1,Joey McIntyre,10,,,,,,0,True,False
1,Joey McIntyre,11,,,,,,0,True,False
1,Trista Sutter,1,6.0,6.0,6.0,,18.0,3,False,True
1,Trista Sutter,2,6.0,7.0,6.0,,19.0,3,False,True
1,Trista Sutter,3,0.0,0.0,0.0,,0.0,3,False,False
1,Trista Sutter,4,0.0,0.0,0.0,,0.0,3,False,False
1,Trista Sutter,5,0.0,0.0,0.0,,0.0,3,False,False
1,Trista Sutter,6,0.0,0.0,0.0,,0.0,3,False,False
1,Trista Sutter,7,,,,,,0,True,False
1,Trista Sutter,8,,,,,,0,True,False
1,Trista Sutter,9,,,,,,0,True,False
1,Trista Sutter,10,,,,,,0,True,False
1,Trista Sutter,11,,,,,,0,True,False
2,Tatum O'Neal,1,7.0,8.0,8.0,,23.0,3,False,True
2,Tatum O'Neal,2,5.0,6.0,6.0,,17.0,3,False,True
2,Tatum O'Neal,3,0.0,0.0,0.0,,0.0,3,False,False
2,Tatum O'Neal,4,0.0,0.0,0.0,,0.0,3,False,False
2,Tatum O'Neal,5,0.0,0.0,0.0,,0.0,3,False,False
2,Tatum O'Neal,6,0.0,0.0,0.0,,0.0,3,False,False
2,Tatum O'Neal,7,0.0,0.0,0.0,,0.0,3,False,False
2,Tatum O'Neal,8,0.0,0.0,0.0,,0.0,3,False,False
2,Tatum O'Neal,9,,,,,,0,True,False
2,Tatum O'Neal,10,,,,,,0,True,False
2,Tatum O'Neal,11,,,,,,0,True,False
2,Tia Carrere,1,6.0,7.0,7.0,,20.0,3,False,True
2,Tia Carrere,2,7.0,8.0,7.0,,22.0,3,False,True
2,Tia Carrere,3,9.0,8.0,9.0,,26.0,3,False,True
2,Tia Carrere,4,9.0,8.0,8.0,,25.0,3,False,True
2,Tia Carrere,5,7.0,7.0,8.0,,22.0,3,False,True
2,Tia Carrere,6,0.0,0.0,0.0,,0.0,3,False,False
2,Tia Carrere,7,0.0,0.0,0.0,,0.0,3,False,False
2,Tia Carrere,8,0.0,0.0,0.0,,0.0,3,False,False
2,Tia Carrere,9,,,,,,0,True,False
2,Tia Carrere,10,,,,,,0,True,False
2,Tia Carrere,11,,,,,,0,True,False
2,George Hamilton,1,7.0,5.0,6.0,,18.0,3,False,True
