season,week,alpha,observed_elim,fan_elim,mech_elim,kendall_tau,reversal,condorcet_ok
1,2,0.6,Trista Sutter,Trista Sutter,Evander Holyfield,0.3333333333333333,1.0,1.0
1,3,0.6,Evander Holyfield,Evander Holyfield,Evander Holyfield,0.6,0.0,1.0
1,4,0.6,Rachel Hunter,Joey McIntyre,Joey McIntyre,1.0,0.0,1.0
2,1,0.6,Kenny Mayne,Kenny Mayne,Master P,0.06666666666666667,1.0,1.0
2,2,0.6,Tatum O'Neal,Jerry Rice,Master P,-0.05555555555555555,1.0,1.0
2,3,0.6,Giselle Fernandez,Giselle Fernandez,Jerry Rice,0.6428571428571428,1.0,1.0
2,4,0.6,Master P,Tia Carrere,George Hamilton,0.33333333333333337,1.0,1.0
2,5,0.6,Tia Carrere,Tia Carrere,Tia Carrere,0.3333333333333333,0.0,1.0
2,6,0.6,George Hamilton,George Hamilton,George Hamilton,0.7999999999999999,0.0,1.0
2,7,0.6,Lisa Rinna,Stacy Keibler,Jerry Rice,0.3333333333333334,1.0,1.0
3,1,0.6,Tucker Carlson,Tucker Carlson,Tucker Carlson,0.41818181818181815,0.0,1.0
3,2,0.6,Shanna Moakler,Shanna Moakler,Shanna Moakler,0.1111111111111111,0.0,1.0
3,3,0.6,Harry Hamlin,Harry Hamlin,Harry Hamlin,0.1111111111111111,0.0,1.0
3,4,0.6,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,0.14285714285714285,0.0,1.0
3,5,0.6,Willa Ford,Willa Ford,Willa Ford,0.8095238095238096,0.0,1.0
3,7,0.6,Jerry Springer,Jerry Springer,Jerry Springer,0.7999999999999999,0.0,1.0
3,8,0.6,Monique Coleman,Monique Coleman,Monique Coleman,0.6666666666666669,0.0,1.0
4,2,0.6,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,0.41818181818181815,0.0,1.0
4,3,0.6,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,0.4222222222222222,0.0,1.0
4,4,0.6,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,-0.1111111111111111,0.0,1.0
4,5,0.6,Clyde Drexler,Clyde Drexler,Clyde Drexler,0.21428571428571427,0.0,1.0
4,6,0.6,Heather Mills,Heather Mills,Heather Mills,0.33333333333333337,0.0,1.0
4,7,0.6,John Ratzenberger,John Ratzenberger,John Ratzenberger,0.06666666666666665,0.0,1.0
4,8,0.6,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,0.6,0.0,1.0
4,9,0.6,Ian Ziering,Ian Ziering,Ian Ziering,1.0,0.0,1.0
5,1,0.6,Josie Maran,Josie Maran,Josie Maran,0.4848484848484848,0.0,1.0
5,2,0.6,Albert Reed,Albert Reed,Albert Reed,0.34545454545454546,0.0,1.0
5,3,0.6,Wayne Newton,Wayne Newton,Wayne Newton,0.4222222222222222,0.0,1.0
5,4,0.6,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,0.1111111111111111,0.0,1.0
5,5,0.6,Mark Cuban,Mark Cuban,Mark Cuban,0.14285714285714285,0.0,1.0
5,6,0.6,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,0.14285714285714288,0.0,1.0
5,7,0.6,Jane Seymour,Jane Seymour,Jane Seymour,0.9999999999999999,0.0,1.0
5,8,0.6,Cameron Mathison,Cameron Mathison,Cameron Mathison,0.7999999999999999,0.0,1.0
5,9,0.6,Jennie Garth,Jennie Garth,Jennie Garth,1.0,0.0,1.0
6,2,0.6,Monica Seles,Monica Seles,Monica Seles,0.2727272727272727,0.0,1.0
6,3,0.6,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,0.19999999999999998,0.0,1.0
6,4,0.6,Adam Carolla,Adam Carolla,Adam Carolla,-0.05555555555555555,0.0,1.0
6,5,0.6,Priscilla Presley,Priscilla Presley,Priscilla Presley,0.0,0.0,1.0
6,6,0.6,Marlee Matlin,Marlee Matlin,Marlee Matlin,-0.23809523809523814,0.0,1.0
6,7,0.6,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,0.3333333333333333,0.0,1.0
6,8,0.6,Mario,Mario,Mario,0.6,0.0,1.0
6,9,0.6,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,1.0,0.0,1.0
7,1,0.6,Ted McGinley,Ted McGinley,Jeffrey Ross,0.5128205128205127,1.0,1.0
7,2,0.6,Kim Kardashian,Kim Kardashian,Kim Kardashian,0.1272727272727273,0.0,1.0
7,4,0.6,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,0.0,0.0,1.0
7,5,0.6,Toni Braxton,Toni Braxton,Toni Braxton,-0.14285714285714285,0.0,1.0
7,6,0.6,Cloris Leachman,Cloris Leachman,Cloris Leachman,0.6190476190476191,0.0,1.0
7,7,0.6,Susan Lucci,Susan Lucci,Susan Lucci,-0.06666666666666665,0.0,1.0
7,8,0.6,Maurice Greene,Maurice Greene,Maurice Greene,0.9999999999999999,0.0,1.0
7,9,0.6,Cody Linley,Cody Linley,Cody Linley,0.6666666666666669,0.0,1.0
8,2,0.6,Belinda Carlisle,Belinda Carlisle,Belinda Carlisle,0.17948717948717946,0.0,1.0
