season,week,alpha,elim
1,2,0.40170544876427217,Trista Sutter
1,3,0.382139037433155,Evander Holyfield
1,4,0.3835886688827864,Rachel Hunter
2,1,0.43049329049329044,Kenny Mayne
2,2,0.40170544876427217,Tatum O'Neal
2,3,0.382139037433155,Giselle Fernandez
2,4,0.3835886688827864,Master P
2,5,0.35454545454545455,Tia Carrere
2,6,0.35,George Hamilton
2,7,0.36423788632517273,Lisa Rinna
3,1,0.43049329049329044,Tucker Carlson
3,2,0.40170544876427217,Shanna Moakler
3,3,0.382139037433155,Harry Hamlin
3,4,0.3835886688827864,Vivica A. Fox
3,5,0.35454545454545455,Willa Ford
3,7,0.36423788632517273,Jerry Springer
3,8,0.43423788632517274,Monique Coleman
4,2,0.40170544876427217,Paulina Porizkova
4,3,0.382139037433155,Shandi Finnessey
4,4,0.3835886688827864,Leeza Gibbons
4,5,0.35454545454545455,Clyde Drexler
4,6,0.35,Heather Mills
4,7,0.36423788632517273,John Ratzenberger
4,8,0.43423788632517274,Billy Ray Cyrus
4,9,0.48261515908574726,Ian Ziering
5,1,0.43049329049329044,Josie Maran
5,2,0.40170544876427217,Albert Reed
5,3,0.382139037433155,Wayne Newton
5,4,0.3835886688827864,Floyd Mayweather Jr. 
5,5,0.35454545454545455,Mark Cuban
5,6,0.35,Sabrina Bryan
5,7,0.36423788632517273,Jane Seymour
5,8,0.43423788632517274,Cameron Mathison
5,9,0.48261515908574726,Jennie Garth
6,2,0.40170544876427217,Monica Seles
6,3,0.382139037433155,Steve Guttenberg
6,4,0.3835886688827864,Adam Carolla
6,5,0.35454545454545455,Priscilla Presley
6,6,0.35,Marlee Matlin
6,7,0.36423788632517273,Shannon Elizabeth
6,8,0.43423788632517274,Mario
6,9,0.48261515908574726,Marissa Jaret Winokur
7,1,0.43049329049329044,Jeffrey Ross
7,2,0.40170544876427217,Kim Kardashian
7,4,0.3835886688827864,Rocco DiSpirito
7,5,0.35454545454545455,Toni Braxton
7,6,0.35,Cloris Leachman
7,7,0.36423788632517273,Susan Lucci
7,8,0.43423788632517274,Maurice Greene
7,9,0.48261515908574726,Cody Linley
