season,week,contestant,voting_method,lower,upper,point
1,2,John O'Hurley,rank,0.0,1.0,1.0
1,2,Rachel Hunter,rank,0.0,1.0,0.8333333333333334
1,2,Kelly Monaco,rank,0.0,1.0,0.6666666666666666
1,2,Joey McIntyre,rank,0.0,1.0,0.3333333333333333
1,2,Evander Holyfield,rank,0.0,1.0,0.5
1,2,Trista Sutter,rank,0.0,1.0,0.16666666666666666
1,3,John O'Hurley,rank,0.0,1.0,1.0
1,3,Rachel Hunter,rank,0.0,1.0,0.8
1,3,Kelly Monaco,rank,0.0,1.0,0.6
1,3,Joey McIntyre,rank,0.0,1.0,0.4
1,3,Evander Holyfield,rank,0.0,1.0,0.2
1,4,John O'Hurley,rank,0.0,1.0,1.0
1,4,Rachel Hunter,rank,0.0,1.0,0.25
1,4,Joey McIntyre,rank,0.0,1.0,0.75
1,4,Kelly Monaco,rank,0.0,1.0,0.5
2,1,Stacy Keibler,rank,0.0,1.0,0.1
2,1,Tia Carrere,rank,0.0,1.0,0.5
2,1,George Hamilton,rank,0.0,1.0,0.3
2,1,Master P,rank,0.0,1.0,0.7
2,1,Jerry Rice,rank,0.0,1.0,0.6
2,1,Giselle Fernandez,rank,0.0,1.0,0.9
2,1,Drew Lachey,rank,0.0,1.0,1.0
2,1,Tatum O'Neal,rank,0.0,1.0,0.8
2,1,Lisa Rinna,rank,0.0,1.0,0.4
2,1,Kenny Mayne,rank,0.0,1.0,0.2
2,2,Stacy Keibler,rank,0.0,1.0,0.1111111111111111
2,2,Tia Carrere,rank,0.0,1.0,0.5555555555555556
2,2,George Hamilton,rank,0.0,1.0,0.4444444444444444
2,2,Master P,rank,0.0,1.0,1.0
2,2,Jerry Rice,rank,0.0,1.0,0.6666666666666666
2,2,Giselle Fernandez,rank,0.0,1.0,0.7777777777777778
2,2,Drew Lachey,rank,0.0,1.0,0.8888888888888888
2,2,Tatum O'Neal,rank,0.0,1.0,0.2222222222222222
2,2,Lisa Rinna,rank,0.0,1.0,0.3333333333333333
2,3,Stacy Keibler,rank,0.0,1.0,1.0
2,3,Tia Carrere,rank,0.0,1.0,0.875
2,3,George Hamilton,rank,0.0,1.0,0.75
2,3,Master P,rank,0.0,1.0,0.625
2,3,Jerry Rice,rank,0.0,1.0,0.5
2,3,Giselle Fernandez,rank,0.0,1.0,0.375
2,3,Drew Lachey,rank,0.0,1.0,0.25
2,3,Lisa Rinna,rank,0.0,1.0,0.125
2,4,Stacy Keibler,rank,0.0,1.0,1.0
2,4,Tia Carrere,rank,0.0,1.0,0.8571428571428571
2,4,George Hamilton,rank,0.0,1.0,0.7142857142857143
2,4,Master P,rank,0.0,1.0,0.5714285714285714
2,4,Jerry Rice,rank,0.0,1.0,0.42857142857142855
2,4,Drew Lachey,rank,0.0,1.0,0.2857142857142857
2,4,Lisa Rinna,rank,0.0,1.0,0.14285714285714285
2,5,Stacy Keibler,rank,0.0,1.0,1.0
2,5,Tia Carrere,rank,0.0,1.0,0.8333333333333334
2,5,George Hamilton,rank,0.0,1.0,0.5
2,5,Jerry Rice,rank,0.0,1.0,0.6666666666666666
2,5,Drew Lachey,rank,0.0,1.0,0.16666666666666666
2,5,Lisa Rinna,rank,0.0,1.0,0.3333333333333333
2,6,Stacy Keibler,rank,0.0,1.0,1.0
2,6,George Hamilton,rank,0.0,1.0,0.6
2,6,Jerry Rice,rank,0.0,1.0,0.8
2,6,Drew Lachey,rank,0.0,1.0,0.2
2,6,Lisa Rinna,rank,0.0,1.0,0.4
2,7,Drew Lachey,rank,0.0,1.0,1.0
2,7,Jerry Rice,rank,0.0,1.0,0.75
2,7,Stacy Keibler,rank,0.0,1.0,0.5
2,7,Lisa Rinna,rank,0.0,1.0,0.25
3,1,Mario Lopez,percent,0.009999000000000001,0.900001,0.01
3,1,Sara Evans,percent,0.009999000000000001,0.900001,0.9
3,1,Monique Coleman,percent,0.009999000000000001,0.900001,0.01
3,1,Harry Hamlin,percent,0.009999000000000001,0.900001,0.01
3,1,Jerry Springer,percent,0.009999000000000001,0.900001,0.01
3,1,Willa Ford,percent,0.009999000000000001,0.900001,0.01
3,1,Tucker Carlson,percent,0.009999000000000001,0.125214590051458,0.01
3,1,Vivica A. Fox,percent,0.009999000000000001,0.900001,0.01
3,1,Joey Lawrence,percent,0.009999000000000001,0.900001,0.01
3,1,Shanna Moakler,percent,0.009999000000000001,0.900001,0.01
3,1,Emmitt Smith,percent,0.009999000000000001,0.900001,0.01
3,2,Mario Lopez,percent,0.014346826086956525,0.8882598695652174,0.014348826086956524
3,2,Sara Evans,percent,0.014346826086956525,0.8882598695652174,0.014348826086956524
3,2,Monique Coleman,percent,0.009999000000000001,0.8839110434782609,0.01
3,2,Harry Hamlin,percent,0.014346826086956525,0.8882598695652174,0.014348826086956524
3,2,Jerry Springer,percent,0.02304247826086957,0.8969555217391304,0.023044478260869573
3,2,Willa Ford,percent,0.009999000000000001,0.8839110434782609,0.8839090434782608
3,2,Vivica A. Fox,percent,0.009999000000000001,0.8839110434782609,0.01
3,2,Joey Lawrence,percent,0.009999000000000001,0.8839110434782609,0.01
3,2,Shanna Moakler,percent,0.009999000000000001,0.10434802608695652,0.01
3,2,Emmitt Smith,percent,0.009999000000000001,0.8839110434782609,0.01
3,3,Mario Lopez,percent,0.009999000000000001,0.9006743285024154,0.010001
3,3,Sara Evans,percent,0.009999000000000001,0.9006733285024153,0.01
3,3,Monique Coleman,percent,0.009999000000000001,0.9006733285024153,0.9006713285024154
3,3,Harry Hamlin,percent,0.009999000000000001,0.11594225120772947,0.01
3,3,Jerry Springer,percent,0.01482991787439613,0.9055052463768115,0.014831917874396128
3,3,Willa Ford,percent,0.009999000000000001,0.9006743285024154,0.010001
3,3,Vivica A. Fox,percent,0.009999000000000001,0.9006733285024153,0.01
3,3,Joey Lawrence,percent,0.009999000000000001,0.9006743285024154,0.010001
3,3,Emmitt Smith,percent,0.024491753623188398,0.9151670821256037,0.0244937536231884
3,4,Mario Lopez,percent,0.009999000000000001,0.8996949696969696,0.01
3,4,Sara Evans,percent,0.030201020202020208,0.9198979898989899,0.03020302020202021
3,4,Monique Coleman,percent,0.009999000000000001,0.8996959696969696,0.8996939696969696
3,4,Jerry Springer,percent,0.020100010101010108,0.9097969797979797,0.02010201010101011
3,4,Willa Ford,percent,0.009999000000000001,0.8996949696969696,0.01
3,4,Vivica A. Fox,percent,0.009999000000000001,0.1287881287878788,0.01
3,4,Joey Lawrence,percent,0.009999000000000001,0.8996949696969696,0.01
3,4,Emmitt Smith,percent,0.009999000000000001,0.8996959696969696,0.010001
3,5,Mario Lopez,percent,0.009999000000000001,0.8957981049723757,0.010001
3,5,Sara Evans,percent,0.02657358563535913,0.9123726906077347,0.026575585635359132
3,5,Monique Coleman,percent,0.009999000000000001,0.8957981049723757,0.010001
3,5,Jerry Springer,percent,0.02657358563535913,0.9123726906077347,0.026575585635359132
3,5,Willa Ford,percent,0.009999000000000001,0.13654330071033938,0.01
