season,week,contestant,interval_width,certainty,point_estimate,voting_method,has_judges_save,rule_era
1,2,Trista Sutter,1.0,1.0,0.6666666666666666,rank,False,Early Rank (S1-2)
1,2,Kelly Monaco,1.0,1.0,0.8333333333333334,rank,False,Early Rank (S1-2)
1,2,Rachel Hunter,1.0,1.0,0.3333333333333333,rank,False,Early Rank (S1-2)
1,2,Joey McIntyre,1.0,1.0,0.5,rank,False,Early Rank (S1-2)
1,2,Evander Holyfield,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
1,2,John O'Hurley,1.0,1.0,0.16666666666666666,rank,False,Early Rank (S1-2)
1,3,Kelly Monaco,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
1,3,Rachel Hunter,1.0,1.0,0.8,rank,False,Early Rank (S1-2)
1,3,Joey McIntyre,1.0,1.0,0.6,rank,False,Early Rank (S1-2)
1,3,Evander Holyfield,1.0,1.0,0.4,rank,False,Early Rank (S1-2)
1,3,John O'Hurley,1.0,1.0,0.2,rank,False,Early Rank (S1-2)
1,4,Kelly Monaco,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
1,4,Rachel Hunter,1.0,1.0,0.25,rank,False,Early Rank (S1-2)
1,4,Joey McIntyre,1.0,1.0,0.75,rank,False,Early Rank (S1-2)
1,4,John O'Hurley,1.0,1.0,0.5,rank,False,Early Rank (S1-2)
2,1,Tia Carrere,1.0,1.0,0.1,rank,False,Early Rank (S1-2)
2,1,Lisa Rinna,1.0,1.0,0.4,rank,False,Early Rank (S1-2)
2,1,Jerry Rice,1.0,1.0,0.6,rank,False,Early Rank (S1-2)
2,1,Tatum O'Neal,1.0,1.0,0.9,rank,False,Early Rank (S1-2)
2,1,Master P,1.0,1.0,0.5,rank,False,Early Rank (S1-2)
2,1,Stacy Keibler,1.0,1.0,0.7,rank,False,Early Rank (S1-2)
2,1,Drew Lachey,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,1,Giselle Fernandez,1.0,1.0,0.8,rank,False,Early Rank (S1-2)
2,1,Kenny Mayne,1.0,1.0,0.2,rank,False,Early Rank (S1-2)
2,1,George Hamilton,1.0,1.0,0.3,rank,False,Early Rank (S1-2)
2,2,Tia Carrere,1.0,1.0,0.1111111111111111,rank,False,Early Rank (S1-2)
2,2,Lisa Rinna,1.0,1.0,0.3333333333333333,rank,False,Early Rank (S1-2)
2,2,Jerry Rice,1.0,1.0,0.6666666666666666,rank,False,Early Rank (S1-2)
2,2,Tatum O'Neal,1.0,1.0,0.2222222222222222,rank,False,Early Rank (S1-2)
2,2,Master P,1.0,1.0,0.5555555555555556,rank,False,Early Rank (S1-2)
2,2,Stacy Keibler,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,2,Drew Lachey,1.0,1.0,0.8888888888888888,rank,False,Early Rank (S1-2)
2,2,Giselle Fernandez,1.0,1.0,0.7777777777777778,rank,False,Early Rank (S1-2)
2,2,George Hamilton,1.0,1.0,0.4444444444444444,rank,False,Early Rank (S1-2)
2,3,Tia Carrere,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,3,Lisa Rinna,1.0,1.0,0.875,rank,False,Early Rank (S1-2)
2,3,Jerry Rice,1.0,1.0,0.75,rank,False,Early Rank (S1-2)
2,3,Master P,1.0,1.0,0.625,rank,False,Early Rank (S1-2)
2,3,Stacy Keibler,1.0,1.0,0.5,rank,False,Early Rank (S1-2)
2,3,Drew Lachey,1.0,1.0,0.375,rank,False,Early Rank (S1-2)
2,3,Giselle Fernandez,1.0,1.0,0.125,rank,False,Early Rank (S1-2)
2,3,George Hamilton,1.0,1.0,0.25,rank,False,Early Rank (S1-2)
2,4,Tia Carrere,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,4,Lisa Rinna,1.0,1.0,0.8571428571428571,rank,False,Early Rank (S1-2)
2,4,Jerry Rice,1.0,1.0,0.7142857142857143,rank,False,Early Rank (S1-2)
2,4,Master P,1.0,1.0,0.5714285714285714,rank,False,Early Rank (S1-2)
2,4,Stacy Keibler,1.0,1.0,0.2857142857142857,rank,False,Early Rank (S1-2)
2,4,Drew Lachey,1.0,1.0,0.14285714285714285,rank,False,Early Rank (S1-2)
2,4,George Hamilton,1.0,1.0,0.42857142857142855,rank,False,Early Rank (S1-2)
