season,inconsistency_score,is_feasible,num_violations,method,has_judges_save
1,0.0,True,0,rank_milp,False
2,0.0,True,0,rank_milp,False
3,0.0,True,0,percent,False
4,0.0,True,0,percent,False
5,0.0,True,0,percent,False
6,0.0,True,0,percent,False
7,0.0,True,0,percent,False
8,0.0,True,0,percent,False
9,0.0,True,0,percent,False
10,0.0,True,0,percent,False
11,0.0,True,0,percent,False
12,0.0,True,0,percent,False
13,0.0,True,0,percent,False
14,0.0,True,0,percent,False
15,0.0,True,0,percent,False
16,0.0,True,0,percent,False
17,0.0,True,0,percent,False
18,0.0,True,0,percent,False
19,0.0,True,0,percent,False
20,0.0,True,0,percent,False
21,0.0,True,0,percent,False
22,0.0,True,0,percent,False
23,0.0,True,0,percent,False
24,0.0,True,0,percent,False
25,0.0,True,0,percent,False
26,0.0,True,0,percent,False
27,0.0,True,0,percent,False
28,0.0,True,0,rank_milp,True
29,0.0,True,0,rank_milp,True
30,0.0,True,0,rank_milp,True
31,0.0,True,0,rank_milp,True
32,0.0,True,0,rank_milp,True
33,0.0,True,0,rank_milp,True
34,0.0,True,0,rank_milp,True
