season,inconsistency_score,voting_method
1,0.0,rank
2,0.0,rank
3,0.0,percent
4,0.0,percent
5,0.0,percent
6,0.0,percent
7,0.0,percent
8,0.0,percent
9,0.0,percent
10,0.0,percent
11,0.0,percent
12,0.0,percent
13,0.0,percent
14,0.0,percent
15,0.0,percent
16,0.0,percent
17,0.0,percent
18,0.0,percent
19,0.0,percent
20,0.0,percent
21,0.0,percent
22,0.0,percent
23,0.0,percent
24,0.0,percent
25,0.0,percent
26,0.0,percent
27,0.0,percent
28,1.0,rank
29,0.0,rank
30,1.0,rank
31,0.0,rank
32,2.0,rank
33,1.0,rank
34,0.0,rank
