factor,season,week,contestant,p_wrongful,ci_lower,ci_upper,classification,interval_width,n_samples
0.0,28,2,Mary Wilson,0.786,0.7674859737387875,0.8034174349937192,Uncertain,1.0,2000
0.0,28,4,Lamar Odom,0.5175,0.4955873871979689,0.5393455136860131,Uncertain,1.0,2000
0.0,28,6,Sailor Brinkley-Cook,1.0,0.9980828823994872,1.0,Definite-Wrongful,1.0,2000
0.0,28,7,Karamo Brown,0.889,0.8744797937577967,0.9020286887490042,Uncertain,1.0,2000
0.0,28,8,Kate Flannery,0.8415,0.8248412592741987,0.856849349404651,Uncertain,1.0,2000
0.0,28,9,Sean Spicer,0.4855,0.46364453750455,0.5074110589058649,Uncertain,1.0,2000
0.0,28,10,James Van Der Beek,0.442,0.4203662490323645,0.4638561366092949,Uncertain,1.0,2000
0.0,29,2,Charles Oakley,0.707,0.6866710139544407,0.7265352993589469,Uncertain,1.0,2000
0.0,29,3,Carole Baskin,0.574,0.5522063114271261,0.5955099551679979,Uncertain,1.0,2000
0.0,29,4,Anne Heche,0.737,0.7172634424816687,0.7558278437756881,Uncertain,1.0,2000
0.0,29,5,Jesse Metcalfe,0.7175,0.6973659880421065,0.7368000658016706,Uncertain,1.0,2000
0.0,29,6,Veron Davis,0.698,0.6775140731633975,0.7177267482667993,Uncertain,1.0,2000
0.0,29,7,Monica Aldama,0.6115,0.589944006087939,0.6326284766871467,Uncertain,1.0,2000
0.0,29,8,Chrishell Stause,0.877,0.8618785048769102,0.890675988452303,Uncertain,1.0,2000
0.0,29,9,AJ McLean,0.745,0.7254403866376354,0.7636202257381132,Uncertain,1.0,2000
0.0,29,10,Skai Jackson,0.848,0.831598997753605,0.8630666883964381,Uncertain,1.0,2000
0.0,29,10,Johnny Weir,0.76,0.7407951146136093,0.778207984234124,Uncertain,1.0,2000
0.0,30,2,Martin Kove,0.6185,0.5970028811426066,0.639542761986072,Uncertain,1.0,2000
0.0,30,3,Christine Chiu,0.9795,0.9723085593002234,0.9848529249208848,Definite-Wrongful,1.0,2000
0.0,30,4,Brian Austin Green,0.6675,0.6465489195032615,0.6878088461005666,Uncertain,1.0,2000
0.0,30,4,Matt James,0.72,0.6999143384122797,0.7392421298434946,Uncertain,1.0,2000
0.0,30,5,Melanie C,0.9745,0.9666284747275898,0.9805521806695237,Definite-Wrongful,1.0,2000
0.0,30,6,Kenya Moore,0.536,0.5140952429051588,0.5577667246276043,Uncertain,1.0,2000
0.0,30,7,"Mike ""The Miz"" Mizanin",0.5875,0.5657769835310364,0.6088875208888738,Uncertain,1.0,2000
0.0,30,8,Jimmie Allen,0.585,0.5632626439741418,0.606411446033771,Uncertain,1.0,2000
0.0,30,8,Olivia Jade,0.883,0.8681732470773175,0.8963582408406897,Uncertain,1.0,2000
0.0,30,9,Melora Hardin,0.773,0.7541279903820496,0.7908252634080705,Uncertain,1.0,2000
0.0,30,9,Suni Lee,0.8125,0.7948006140749126,0.8290011874247667,Uncertain,1.0,2000
0.0,31,1,Jason Lewis,0.768,0.748997071799906,0.7859753531662191,Uncertain,1.0,2000
0.0,31,2,Teresa Giudice,0.737,0.7172634424816687,0.7558278437756881,Uncertain,1.0,2000
0.0,31,3,Cheryl Ladd,0.781,0.762345217372498,0.7985773625360137,Uncertain,1.0,2000
0.0,31,4,Sam Champion,0.637,0.6156810968560525,0.6577936129214069,Uncertain,1.0,2000
0.0,31,5,Joseph Baena,0.846,0.8295186576346752,0.8611546969857699,Uncertain,1.0,2000
0.0,31,6,Jessie James Decker,0.68,0.6592273915492387,0.7000824461145768,Uncertain,1.0,2000
0.0,31,7,Jordin Sparks,0.754,0.7346495487633886,0.7723765554955508,Uncertain,1.0,2000
0.0,31,8,Heidi D'Amelio,0.7325,0.7126675250229269,0.7514410152928348,Uncertain,1.0,2000
0.0,31,8,Vinny Guadagnino,0.4475,0.4258289818821296,0.4693723154659242,Uncertain,1.0,2000
0.0,31,9,Trevor Donovan,0.5405,0.518601704215766,0.5622430092585924,Uncertain,1.0,2000
0.0,31,9,Daniel Durant,0.6015,0.5798679071210117,0.6227429180060843,Uncertain,1.0,2000
0.0,32,1,Matt Walsh,0.6915,0.6709064247584434,0.7113593192005602,Uncertain,1.0,2000
0.0,32,2,Jamie Lynn Spears,0.949,0.9384682511147582,0.9578101772799812,Uncertain,1.0,2000
0.0,32,3,Tyson Beckford,0.6045,0.582889753871346,0.6257095685501468,Uncertain,1.0,2000
0.0,32,4,Adrian Peterson,0.9595,0.9499429837911436,0.9672951851339852,Definite-Wrongful,1.0,2000
0.0,32,5,Mira Sorvino,0.871,0.8555948290650491,0.8849826696753703,Uncertain,1.0,2000
0.0,32,6,Mauricio Umansky,0.9485,0.9379249175274234,0.9573554279849166,Uncertain,1.0,2000
0.0,32,7,Lele Pons,0.996,0.9921264415501132,0.997971777790178,Definite-Wrongful,1.0,2000
0.0,32,8,Barry Williams,0.791,0.7726306843594068,0.8082535531970947,Uncertain,1.0,2000
0.0,32,9,Harry Jowsey,0.38,0.3589762113636237,0.4014838968604994,Uncertain,1.0,2000
0.08,28,2,Mary Wilson,0.7524193548387097,0.7276408703746988,0.7756386468885927,Uncertain,0.9266666666666667,1240
0.08,28,4,Lamar Odom,0.669,0.6480694650642479,0.6892825491867788,Uncertain,0.92,2000
0.08,28,6,Sailor Brinkley-Cook,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9555555555555556,2000
0.08,28,7,Karamo Brown,0.857,0.8409724114625821,0.8716587665706517,Uncertain,0.93,2000
0.08,28,8,Kate Flannery,0.805,0.7870578186656875,0.8217727395979998,Uncertain,0.9314285714285716,2000
0.08,28,9,Sean Spicer,0.4065,0.3851722374644216,0.4281862635268742,Uncertain,0.92,2000
0.08,28,10,James Van Der Beek,0.4845,0.4626477662408563,0.5064116644047595,Uncertain,0.92,2000
0.08,29,2,Charles Oakley,0.497,0.4751136939084249,0.5188978087971783,Uncertain,0.92,2000
0.08,29,3,Carole Baskin,0.996,0.9921264415501132,0.997971777790178,Definite-Wrongful,0.92,2000
0.08,29,4,Anne Heche,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9292307692307692,2000
0.08,29,5,Jesse Metcalfe,0.7237790232185749,0.6983239868349352,0.7478617081483733,Uncertain,0.92,1249
0.08,29,6,Veron Davis,0.737,0.7172634424816687,0.7558278437756881,Uncertain,0.9236363636363636,2000
0.08,29,7,Monica Aldama,0.6705,0.6495902464411385,0.6907560164570865,Uncertain,0.92,2000
0.08,29,8,Chrishell Stause,0.909,0.8955985748851946,0.920833222917586,Uncertain,0.935,2000
0.08,29,9,AJ McLean,0.6435,0.6222516411646575,0.6641981460839952,Uncertain,0.9257142857142856,2000
0.08,29,10,Skai Jackson,0.75,0.730555245155276,0.7684861960444674,Uncertain,0.9333333333333332,2000
0.08,29,10,Johnny Weir,0.694,0.6734472693105824,0.7138088890604184,Uncertain,0.9266666666666667,2000
0.08,30,2,Martin Kove,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.92,2000
0.08,30,3,Christine Chiu,0.0035,0.0016964100455623,0.007207287731747,Definite-Correct,0.9342857142857142,2000
0.08,30,4,Brian Austin Green,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.92,2000
0.08,30,4,Matt James,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9230769230769232,2000
